X,Y
38,51
33,59
29,54
26,50
26,46
23,44
28,40
31,41
33,35
37,29
37,27
36,24
35,20
33,11
34,10
36,8
36,6
39,3
32,2
32,9
22,20
14,23
15,28
13,33
6,26
4,24
4,10
10,10
10,7
8,3
12,49
7,60
7,67
3,69
2,77
14,74
15,71
20,65
13,82
11,93
5,98
1,95
19,93
23,97
36,93
31,83
51,78
52,81
53,84
61,78
65,87
68,86
69,86
73,98
78,95
85,82
82,77
74,69
74,64
70,61
69,67
66,67
62,62
61,61
59,58
57,54
55,45
43,41
46,30
64,23
73,19
76,14
77,13
78,15
71,10
70,1
56,13
70,33
67,36
72,40
72,48
76,56
80,54
87,51
89,43
82,42
81,40
79,33
79,30
79,25
89,20
92,18
99,24
94,8
98,50
81,64
94,78
97,80
60,94
57,97
38,51
